epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,5691.74,0.99888,0.80377,1.09523,0.79721,0.87123,0.86837,0.65305,0.80339,0.57845,0.96795,0.0087295,0.0087295,0.0087295
79,5765.85,1.00047,0.82362,1.10315,0.79871,0.87991,0.87094,0.65617,0.80478,0.57159,0.97363,0.008713,0.008713,0.008713
80,5839.56,0.99817,0.80619,1.09518,0.81558,0.87447,0.87255,0.65733,0.80563,0.56841,0.97125,0.0086965,0.0086965,0.0086965
81,5912.81,1.00549,0.80924,1.10333,0.81802,0.87351,0.87192,0.65681,0.80646,0.56788,0.97223,0.00868,0.00868,0.00868
82,5986.14,1.00114,0.80362,1.10387,0.81537,0.8698,0.87533,0.65979,0.80533,0.5704,0.971,0.0086635,0.0086635,0.0086635
83,6059.19,0.99347,0.80938,1.0991,0.80384,0.87847,0.87011,0.65771,0.80429,0.5709,0.96964,0.008647,0.008647,0.008647
84,6132.09,0.9932,0.80235,1.09825,0.79863,0.88314,0.87061,0.6564,0.8018,0.5677,0.967,0.0086305,0.0086305,0.0086305
85,6204.86,0.99384,0.79701,1.09533,0.80057,0.87626,0.87075,0.65421,0.80673,0.56712,0.96991,0.008614,0.008614,0.008614
86,6278.42,0.99278,0.81184,1.0931,0.81167,0.87614,0.87056,0.65496,0.80316,0.56662,0.96723,0.0085975,0.0085975,0.0085975
87,6352.03,0.98687,0.79652,1.0945,0.80211,0.8766,0.87031,0.65616,0.8012,0.56911,0.96672,0.008581,0.008581,0.008581
88,6425.78,0.97645,0.7853,1.0921,0.81445,0.87009,0.86696,0.65747,0.7972,0.57024,0.9661,0.0085645,0.0085645,0.0085645
89,6499.74,0.98225,0.79131,1.09023,0.82034,0.87001,0.87141,0.66105,0.79331,0.56719,0.96544,0.008548,0.008548,0.008548
90,6573.67,0.9897,0.7997,1.09689,0.8103,0.86845,0.8674,0.66008,0.79589,0.56682,0.96565,0.0085315,0.0085315,0.0085315
91,6647.62,0.991,0.79353,1.09553,0.8134,0.86806,0.86965,0.66131,0.79332,0.56007,0.96326,0.008515,0.008515,0.008515
92,6720.64,0.97674,0.79122,1.0961,0.81828,0.86746,0.87135,0.66527,0.7913,0.55908,0.96362,0.0084985,0.0084985,0.0084985
93,6795.58,0.96811,0.77799,1.08732,0.82436,0.8736,0.87539,0.66735,0.78605,0.55465,0.96099,0.008482,0.008482,0.008482
94,6869.55,0.98597,0.78772,1.09269,0.81257,0.87904,0.87846,0.6693,0.78371,0.55334,0.96038,0.0084655,0.0084655,0.0084655
95,6942.64,0.97711,0.78479,1.0873,0.81829,0.87649,0.87967,0.67236,0.78101,0.55175,0.95757,0.008449,0.008449,0.008449
96,7014.96,0.98483,0.78388,1.09186,0.82145,0.87651,0.87893,0.67364,0.7808,0.5508,0.95839,0.0084325,0.0084325,0.0084325
97,7087.38,0.97605,0.77463,1.08939,0.81778,0.87669,0.87945,0.67139,0.78098,0.54812,0.95832,0.008416,0.008416,0.008416
98,7161.35,0.97196,0.77933,1.08368,0.81604,0.88177,0.88201,0.67261,0.77983,0.54542,0.95838,0.0083995,0.0083995,0.0083995
99,7234.06,0.97343,0.77549,1.08941,0.82164,0.88095,0.88298,0.67327,0.78112,0.54773,0.95783,0.008383,0.008383,0.008383
100,7307,0.97498,0.78213,1.09143,0.82564,0.88013,0.88262,0.67557,0.77721,0.54657,0.95542,0.0083665,0.0083665,0.0083665
101,7380.73,0.96843,0.77323,1.0886,0.82376,0.88316,0.88164,0.67463,0.77523,0.54493,0.95469,0.00835,0.00835,0.00835
102,7454.41,0.97297,0.77233,1.08505,0.82418,0.88221,0.88074,0.67549,0.77268,0.54387,0.95407,0.0083335,0.0083335,0.0083335
103,7527.5,0.97226,0.77889,1.08732,0.82734,0.8788,0.88117,0.67431,0.77269,0.54447,0.9549,0.008317,0.008317,0.008317
104,7600.23,0.97079,0.77172,1.08503,0.82238,0.88532,0.88044,0.67544,0.77213,0.54665,0.9542,0.0083005,0.0083005,0.0083005
105,7673.45,0.9672,0.76159,1.08592,0.82059,0.88322,0.87938,0.67499,0.76864,0.54444,0.95356,0.008284,0.008284,0.008284
106,7748.83,0.96336,0.76034,1.07923,0.82228,0.88304,0.88046,0.67603,0.76983,0.54229,0.95445,0.0082675,0.0082675,0.0082675
107,7821.47,0.97199,0.75563,1.08335,0.82812,0.87961,0.88127,0.67644,0.76988,0.54232,0.95386,0.008251,0.008251,0.008251
108,7893.33,0.96694,0.75666,1.07631,0.8254,0.8798,0.88225,0.67734,0.76886,0.54119,0.95213,0.0082345,0.0082345,0.0082345
109,7966.65,0.95838,0.75786,1.07944,0.82588,0.88126,0.8821,0.67884,0.76592,0.53947,0.94986,0.008218,0.008218,0.008218
110,8042.06,0.96001,0.76778,1.07957,0.82912,0.87916,0.88231,0.67996,0.7626,0.53814,0.94847,0.0082015,0.0082015,0.0082015
111,8115.61,0.96291,0.76431,1.0803,0.83084,0.8813,0.88233,0.68037,0.76298,0.53855,0.94859,0.008185,0.008185,0.008185
112,8188.87,0.95848,0.75692,1.07924,0.83012,0.87451,0.88172,0.68021,0.76373,0.53832,0.94979,0.0081685,0.0081685,0.0081685
113,8262.42,0.96488,0.75146,1.07733,0.82975,0.87704,0.8821,0.68043,0.76219,0.53736,0.9502,0.008152,0.008152,0.008152
114,8336.04,0.94987,0.7483,1.07181,0.82636,0.87898,0.88231,0.68186,0.76043,0.53568,0.94864,0.0081355,0.0081355,0.0081355
115,8408.88,0.96669,0.76079,1.07843,0.82304,0.87996,0.88224,0.68171,0.76063,0.53445,0.94796,0.008119,0.008119,0.008119
116,8483.79,0.95017,0.74851,1.07138,0.82325,0.88481,0.88264,0.68176,0.75878,0.53235,0.94677,0.0081025,0.0081025,0.0081025
117,8559.56,0.95279,0.75393,1.07284,0.82429,0.88476,0.88293,0.68094,0.75934,0.5314,0.94655,0.008086,0.008086,0.008086
118,8635.92,0.95411,0.73811,1.07636,0.82547,0.88384,0.88286,0.67996,0.76014,0.53169,0.94697,0.0080695,0.0080695,0.0080695
119,8708.87,0.95024,0.74541,1.07217,0.82157,0.88868,0.88322,0.68091,0.76065,0.5334,0.94718,0.008053,0.008053,0.008053
120,8781.83,0.94805,0.74321,1.07137,0.82206,0.88315,0.88325,0.68152,0.76036,0.53223,0.9474,0.0080365,0.0080365,0.0080365
121,8855.44,0.95271,0.74916,1.07464,0.82325,0.88265,0.8838,0.68252,0.75846,0.53047,0.94666,0.00802,0.00802,0.00802
122,8929.37,0.94771,0.73735,1.07457,0.82748,0.88435,0.88357,0.68223,0.75884,0.52906,0.9466,0.0080035,0.0080035,0.0080035
123,9002.15,0.9633,0.7474,1.08087,0.82537,0.8837,0.88401,0.68296,0.76028,0.52848,0.94749,0.007987,0.007987,0.007987
124,9079.02,0.95209,0.73989,1.07228,0.82491,0.8847,0.88433,0.68321,0.75995,0.52809,0.94728,0.0079705,0.0079705,0.0079705
125,9154.93,0.95148,0.7487,1.07188,0.82279,0.88636,0.88433,0.68366,0.75797,0.5274,0.94618,0.007954,0.007954,0.007954
126,9229.95,0.94646,0.73193,1.06825,0.82783,0.88362,0.88411,0.68393,0.75685,0.52691,0.94555,0.0079375,0.0079375,0.0079375
127,9303.02,0.94873,0.73845,1.07124,0.82944,0.88259,0.88491,0.6847,0.75577,0.5268,0.94439,0.007921,0.007921,0.007921
128,9377.69,0.94121,0.72778,1.06663,0.82699,0.8834,0.88465,0.68513,0.75472,0.52692,0.94336,0.0079045,0.0079045,0.0079045
129,9451.55,0.93783,0.7268,1.06742,0.82888,0.8825,0.88476,0.68586,0.75298,0.52733,0.94267,0.007888,0.007888,0.007888
130,9526.3,0.93203,0.72663,1.06943,0.83161,0.88021,0.88489,0.68639,0.75187,0.52761,0.94237,0.0078715,0.0078715,0.0078715
131,9599.19,0.93988,0.73465,1.07118,0.83325,0.87886,0.88485,0.68695,0.75124,0.5264,0.94253,0.007855,0.007855,0.007855
132,9672.69,0.93988,0.72713,1.07169,0.83157,0.88001,0.88481,0.68785,0.75019,0.5256,0.9419,0.0078385,0.0078385,0.0078385
133,9746.35,0.94104,0.73604,1.06937,0.8277,0.8836,0.88513,0.68869,0.74883,0.52446,0.94099,0.007822,0.007822,0.007822
134,9819.46,0.93256,0.72215,1.07223,0.82746,0.88246,0.88528,0.68926,0.74772,0.52343,0.94016,0.0078055,0.0078055,0.0078055
135,9892.8,0.94688,0.73407,1.07221,0.83117,0.87958,0.88539,0.68931,0.74706,0.5232,0.94002,0.007789,0.007789,0.007789
136,9964.95,0.93599,0.72509,1.06438,0.82549,0.88562,0.88511,0.68868,0.74652,0.52265,0.93948,0.0077725,0.0077725,0.0077725
137,10038.9,0.94454,0.72307,1.07312,0.82964,0.88599,0.88612,0.68907,0.74638,0.52211,0.94,0.007756,0.007756,0.007756
138,10112.7,0.92906,0.71255,1.06191,0.83154,0.883,0.88536,0.68884,0.74686,0.52211,0.94003,0.0077395,0.0077395,0.0077395
139,10185.7,0.94156,0.7239,1.06873,0.83186,0.88459,0.88503,0.68835,0.74662,0.52168,0.94006,0.007723,0.007723,0.007723
140,10260.1,0.93899,0.72061,1.06564,0.83142,0.88531,0.88508,0.68854,0.74642,0.52174,0.93994,0.0077065,0.0077065,0.0077065
141,10333.6,0.93096,0.71815,1.06383,0.82886,0.88871,0.88549,0.68828,0.74567,0.52133,0.93949,0.00769,0.00769,0.00769
142,10407.1,0.93363,0.72038,1.06201,0.83001,0.89062,0.88555,0.68888,0.74459,0.52065,0.93886,0.0076735,0.0076735,0.0076735
143,10480.3,0.94302,0.72852,1.0695,0.82851,0.88997,0.88521,0.68922,0.74357,0.52005,0.93832,0.007657,0.007657,0.007657
144,10552.4,0.94492,0.73366,1.07337,0.83091,0.89121,0.88594,0.68997,0.74283,0.51969,0.93783,0.0076405,0.0076405,0.0076405
145,10624.3,0.92644,0.71228,1.06058,0.83087,0.89177,0.88601,0.69,0.74237,0.5189,0.93776,0.007624,0.007624,0.007624
146,10699,0.93545,0.71813,1.06817,0.83191,0.88975,0.88639,0.68996,0.74194,0.51741,0.93763,0.0076075,0.0076075,0.0076075
147,10772.6,0.94034,0.7104,1.06324,0.83271,0.88942,0.88638,0.69048,0.74174,0.51667,0.93758,0.007591,0.007591,0.007591
148,10845.5,0.93037,0.71518,1.06773,0.83367,0.88783,0.88629,0.69174,0.74149,0.51651,0.93742,0.0075745,0.0075745,0.0075745
149,10918,0.92996,0.71211,1.06101,0.83114,0.88914,0.88645,0.69159,0.74149,0.51613,0.93723,0.007558,0.007558,0.007558
150,10991.1,0.92895,0.71607,1.06518,0.83311,0.88756,0.88698,0.69192,0.74095,0.51591,0.93684,0.0075415,0.0075415,0.0075415
151,11063.1,0.93343,0.71231,1.06442,0.83384,0.88775,0.88712,0.69164,0.74042,0.51619,0.93641,0.007525,0.007525,0.007525
152,11135.5,0.92334,0.70839,1.06059,0.83368,0.88754,0.88721,0.69216,0.7399,0.51577,0.93607,0.0075085,0.0075085,0.0075085
153,11208.3,0.92689,0.71065,1.06565,0.83418,0.88645,0.88707,0.69217,0.73974,0.51661,0.93598,0.007492,0.007492,0.007492
154,11280.9,0.93131,0.71299,1.06145,0.83671,0.88566,0.8873,0.69253,0.73961,0.51537,0.93584,0.0074755,0.0074755,0.0074755
155,11354.4,0.92862,0.70938,1.06128,0.83497,0.88816,0.88765,0.69323,0.73929,0.51442,0.93556,0.007459,0.007459,0.007459
156,11427,0.93093,0.71109,1.0639,0.83282,0.8883,0.88786,0.69391,0.73835,0.51386,0.93506,0.0074425,0.0074425,0.0074425
157,11499.2,0.91448,0.71016,1.06114,0.83306,0.88754,0.88799,0.69374,0.73815,0.5136,0.9349,0.007426,0.007426,0.007426
158,11571,0.92313,0.70473,1.05926,0.83275,0.88823,0.88812,0.69375,0.73778,0.51367,0.93477,0.0074095,0.0074095,0.0074095
159,11644.2,0.91501,0.7099,1.06557,0.8305,0.88961,0.88813,0.69347,0.73782,0.51373,0.93504,0.007393,0.007393,0.007393
160,11717.6,0.91656,0.70496,1.06025,0.83144,0.88952,0.88812,0.69407,0.73757,0.51372,0.93489,0.0073765,0.0073765,0.0073765
161,11790.3,0.92748,0.70669,1.06273,0.83092,0.8907,0.88858,0.69408,0.73701,0.51351,0.93464,0.00736,0.00736,0.00736
162,11863.6,0.9111,0.68882,1.05577,0.83126,0.89128,0.88856,0.69424,0.73659,0.51284,0.93451,0.0073435,0.0073435,0.0073435
163,11937.1,0.93188,0.71129,1.06398,0.83111,0.8901,0.88861,0.69431,0.73608,0.51273,0.93422,0.007327,0.007327,0.007327
164,12009.5,0.91711,0.70328,1.05791,0.83004,0.89197,0.88861,0.69511,0.73574,0.51228,0.93415,0.0073105,0.0073105,0.0073105
165,12083.7,0.91427,0.69777,1.05645,0.82867,0.89334,0.88842,0.69505,0.73529,0.51195,0.93376,0.007294,0.007294,0.007294
166,12157.4,0.90978,0.69084,1.05668,0.83012,0.89395,0.88838,0.69499,0.735,0.51158,0.93361,0.0072775,0.0072775,0.0072775
167,12230.6,0.91903,0.69696,1.05829,0.83082,0.89275,0.88823,0.69503,0.73462,0.5111,0.93334,0.007261,0.007261,0.007261
168,12304.1,0.91438,0.70646,1.05906,0.83207,0.89295,0.88837,0.69491,0.73407,0.51055,0.9332,0.0072445,0.0072445,0.0072445
169,12377,0.92014,0.70248,1.05987,0.8333,0.89198,0.88823,0.69498,0.73376,0.5103,0.93314,0.007228,0.007228,0.007228
170,12450.1,0.91505,0.69562,1.05612,0.83323,0.89072,0.88847,0.69548,0.73346,0.51014,0.93306,0.0072115,0.0072115,0.0072115
171,12523.1,0.91396,0.69361,1.05834,0.83472,0.8901,0.88844,0.69566,0.7331,0.51034,0.93291,0.007195,0.007195,0.007195
172,12599.8,0.91006,0.69475,1.05337,0.8335,0.89086,0.8886,0.69527,0.73274,0.51003,0.9326,0.0071785,0.0071785,0.0071785
173,12674.5,0.91401,0.6987,1.05264,0.83429,0.89128,0.88903,0.69556,0.73254,0.50962,0.93236,0.007162,0.007162,0.007162
174,12737.8,0.91386,0.68906,1.0561,0.83404,0.89142,0.88886,0.69557,0.73204,0.50967,0.93228,0.0071455,0.0071455,0.0071455
175,12800.2,0.91324,0.69004,1.05473,0.83355,0.89383,0.88912,0.69589,0.73158,0.50927,0.93203,0.007129,0.007129,0.007129
176,12867.4,0.91607,0.69689,1.05484,0.83521,0.89381,0.8891,0.69639,0.73129,0.50891,0.93189,0.0071125,0.0071125,0.0071125
177,12939,0.90405,0.69084,1.05223,0.8339,0.89499,0.88936,0.69665,0.73098,0.50862,0.93181,0.007096,0.007096,0.007096
178,13010.7,0.90806,0.68692,1.05502,0.83609,0.8942,0.88932,0.69651,0.73066,0.50814,0.93166,0.0070795,0.0070795,0.0070795
179,13082.3,0.90857,0.68479,1.05204,0.83535,0.89539,0.88929,0.69725,0.73046,0.50795,0.93155,0.007063,0.007063,0.007063
180,13155.9,0.9001,0.68656,1.04819,0.83543,0.89444,0.88927,0.69734,0.73023,0.50771,0.93146,0.0070465,0.0070465,0.0070465
181,13231.7,0.91127,0.69043,1.05351,0.83424,0.89485,0.8893,0.69713,0.72987,0.50745,0.93127,0.00703,0.00703,0.00703
182,13304.5,0.90212,0.67565,1.05272,0.83552,0.8948,0.88932,0.6974,0.72968,0.50732,0.93123,0.0070135,0.0070135,0.0070135
183,13376.2,0.91778,0.69089,1.0555,0.83607,0.89276,0.88943,0.69744,0.72936,0.50715,0.93117,0.006997,0.006997,0.006997
184,13448.1,0.90153,0.678,1.05117,0.8359,0.89239,0.88931,0.69758,0.72893,0.50726,0.93095,0.0069805,0.0069805,0.0069805
