epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,2666.92,0.90153,0.62458,1.05097,0.89723,0.82638,0.90203,0.667,0.85028,0.49375,0.99723,0.0004588,0.0004588,0.0004588
84,2700.62,0.90067,0.62466,1.04687,0.88043,0.85033,0.91008,0.67163,0.85017,0.49515,0.99482,0.0004522,0.0004522,0.0004522
85,2734.47,0.9111,0.62388,1.05076,0.9117,0.82163,0.90787,0.6714,0.84412,0.49631,0.99722,0.0004456,0.0004456,0.0004456
86,2768.29,0.90461,0.61929,1.04969,0.91304,0.82644,0.90845,0.67048,0.85059,0.49184,0.99845,0.000439,0.000439,0.000439
87,2800.13,0.89594,0.61482,1.04699,0.89698,0.83925,0.90225,0.67039,0.84936,0.49608,0.98958,0.0004324,0.0004324,0.0004324
88,2835.15,0.89276,0.61039,1.04408,0.90359,0.82756,0.90112,0.66883,0.84903,0.49419,0.99556,0.0004258,0.0004258,0.0004258
89,2867.08,0.89904,0.60991,1.04663,0.90329,0.83014,0.90505,0.66902,0.85169,0.49061,1.00289,0.0004192,0.0004192,0.0004192
90,2898.88,0.8849,0.60201,1.04326,0.89146,0.84463,0.90006,0.66798,0.85413,0.4965,1.00664,0.0004126,0.0004126,0.0004126
91,2935.93,0.90661,0.62028,1.04836,0.89774,0.83908,0.90075,0.66641,0.85383,0.49163,1.00197,0.000406,0.000406,0.000406
92,2971.19,0.88823,0.60633,1.0405,0.89406,0.84194,0.90875,0.67172,0.85286,0.49144,1.00382,0.0003994,0.0003994,0.0003994
93,3005.86,0.87311,0.59518,1.04143,0.9155,0.81494,0.89343,0.66518,0.85085,0.4983,0.9989,0.0003928,0.0003928,0.0003928
94,3038.34,0.88965,0.60114,1.04597,0.91389,0.82616,0.90567,0.67141,0.85529,0.4863,1.00362,0.0003862,0.0003862,0.0003862
95,3071.13,0.87541,0.58939,1.03325,0.90841,0.82731,0.90339,0.67257,0.8476,0.48613,0.99803,0.0003796,0.0003796,0.0003796
96,3103.42,0.87531,0.58816,1.032,0.91741,0.8176,0.9025,0.67554,0.8451,0.48445,0.99747,0.000373,0.000373,0.000373
97,3134.09,0.87487,0.59208,1.03537,0.91176,0.82709,0.90496,0.67258,0.84684,0.48164,0.9968,0.0003664,0.0003664,0.0003664
98,3165.64,0.88983,0.59764,1.03907,0.8845,0.85439,0.91105,0.6772,0.84426,0.47923,0.99318,0.0003598,0.0003598,0.0003598
99,3197.72,0.86422,0.58159,1.03575,0.91152,0.82371,0.90639,0.67694,0.84518,0.47617,0.98866,0.0003532,0.0003532,0.0003532
100,3229.03,0.86988,0.58304,1.03444,0.91013,0.82651,0.90314,0.67548,0.84161,0.47986,0.98869,0.0003466,0.0003466,0.0003466
101,3260.54,0.86898,0.58941,1.03435,0.90219,0.82503,0.9003,0.67223,0.84131,0.48067,0.98949,0.00034,0.00034,0.00034
102,3291.49,0.87306,0.58159,1.03817,0.9126,0.8273,0.90814,0.67796,0.83773,0.47111,0.98309,0.0003334,0.0003334,0.0003334
103,3322.95,0.86042,0.57406,1.03306,0.90605,0.84088,0.91164,0.68293,0.82799,0.46516,0.98493,0.0003268,0.0003268,0.0003268
104,3354.12,0.8635,0.57076,1.034,0.8928,0.84983,0.91067,0.68156,0.82964,0.47213,0.98334,0.0003202,0.0003202,0.0003202
105,3385.81,0.8624,0.57218,1.02988,0.91055,0.83055,0.90347,0.67401,0.83886,0.48098,0.99218,0.0003136,0.0003136,0.0003136
106,3417.32,0.8529,0.57086,1.02777,0.88212,0.85228,0.90711,0.68043,0.83909,0.4741,0.9876,0.000307,0.000307,0.000307
107,3450.16,0.85941,0.57173,1.02655,0.9082,0.83751,0.90506,0.67731,0.83676,0.47732,0.98754,0.0003004,0.0003004,0.0003004
108,3481.59,0.85355,0.57043,1.02488,0.91099,0.83836,0.90489,0.68086,0.82928,0.47315,0.98358,0.0002938,0.0002938,0.0002938
109,3514.09,0.85736,0.57095,1.02846,0.89861,0.85229,0.91203,0.68575,0.82692,0.47088,0.98336,0.0002872,0.0002872,0.0002872
110,3546.2,0.8658,0.56728,1.02794,0.91279,0.838,0.91162,0.68474,0.82996,0.46984,0.9843,0.0002806,0.0002806,0.0002806
111,3578.33,0.85154,0.55902,1.02448,0.92403,0.83276,0.90834,0.68395,0.82684,0.46784,0.98334,0.000274,0.000274,0.000274
112,3611.4,0.84001,0.55508,1.02029,0.91265,0.83974,0.91093,0.68172,0.8333,0.46946,0.98789,0.0002674,0.0002674,0.0002674
113,3647.49,0.83639,0.55693,1.023,0.91623,0.83342,0.90201,0.67688,0.83147,0.47102,0.9879,0.0002608,0.0002608,0.0002608
114,3685.58,0.84495,0.55583,1.0209,0.9072,0.84175,0.90681,0.68107,0.82816,0.46599,0.98471,0.0002542,0.0002542,0.0002542
115,3722.54,0.84299,0.54811,1.0165,0.91677,0.83104,0.90584,0.68395,0.82061,0.46639,0.979,0.0002476,0.0002476,0.0002476
116,3759.33,0.84044,0.55391,1.01649,0.90643,0.83799,0.90429,0.68252,0.82285,0.46442,0.98027,0.000241,0.000241,0.000241
117,3797.52,0.83884,0.55144,1.02061,0.90803,0.84524,0.91165,0.68661,0.82842,0.45798,0.98392,0.0002344,0.0002344,0.0002344
118,3835.13,0.8369,0.5518,1.01709,0.90599,0.84545,0.90863,0.68499,0.82863,0.4624,0.98316,0.0002278,0.0002278,0.0002278
